voltage mean,voltage std,CC charge time,current mean,current std,CV charge time,capacity
4.096312338,0.056717078,316.02,0.231805931,0.110360476,987.72,1.901
4.096412092,0.056571931,313.56,0.232575113,0.111091398,912.84,1.921
4.09652459,0.056492985,312.66,0.232131561,0.111016203,908.28,1.924
4.096387213,0.056645088,312.96,0.232689829,0.111043455,900.78,1.921
4.096305556,0.056484776,312.66,0.232108636,0.110844612,902.28,1.931
4.096552131,0.056562501,312.06,0.23147643,0.110528944,894.48,1.933
4.096494389,0.05648478,310.56,0.232157028,0.110480284,888.96,1.936
4.096461842,0.056523708,311.1,0.231417613,0.110231477,883.92,1.937
4.096511513,0.056621395,310.86,0.231141744,0.110187234,881.76,1.939
4.09619934,0.056507213,310.08,0.230813155,0.110035828,879.48,1.941
4.096425828,0.056360403,308.82,0.230857778,0.109958222,875.46,1.943
4.096362706,0.056511233,309.72,0.230934548,0.109819651,872.64,1.945
4.096344702,0.056405377,308.4,0.230809988,0.109940786,871.5,1.946
4.096587086,0.056590488,309.6,0.230234198,0.109550918,872.94,1.948
4.09643887,0.056614406,308.94,0.230436299,0.109695732,867.18,1.95
4.096535333,0.056486467,307.8,0.230671871,0.109818792,862.5,1.951
4.096523333,0.056560255,307.62,0.230358134,0.109541189,859.68,1.952
4.096354333,0.056552906,307.86,0.230487336,0.109677743,860.82,1.953
4.096282943,0.056372219,306.6,0.229897844,0.109314967,858.6,1.955
4.096293645,0.0564587,306.6,0.230344258,0.109510948,859.08,1.955
4.096377926,0.056503768,306.72,0.230514406,0.109539914,856.62,1.956
4.096232776,0.056498046,306.72,0.230233253,0.109441072,856.5,1.957
4.096420667,0.056683459,307.92,0.230031504,0.109519557,862.02,1.957
4.096330872,0.056392586,305.76,0.23054982,0.109605094,858.36,1.957
4.096304027,0.056429549,305.94,0.230412485,0.109241999,856.68,1.959
4.096566779,0.056558357,305.82,0.230071343,0.109349044,858.72,1.959
4.09634214,0.056709879,306.9,0.230142344,0.109574093,859.8,1.96
4.096315719,0.056722024,306.9,0.230111885,0.109283026,856.62,1.96
4.096379195,0.056518952,305.58,0.230455168,0.109453728,855.3,1.961
4.096145973,0.056594361,305.94,0.230013549,0.109290849,857.64,1.962
4.096341414,0.056445049,304.5,0.230203494,0.109130891,853.38,1.961
4.096425168,0.056682677,305.76,0.229967464,0.109337065,861,1.962
4.09633557,0.056707631,305.76,0.229850299,0.109210602,858.54,1.962
4.096226174,0.056656834,305.76,0.230354262,0.109153963,856.56,1.963
4.096262081,0.056700675,305.64,0.229954545,0.10927591,859.32,1.963
4.096398322,0.056707231,305.58,0.229943301,0.109290461,859.8,1.962
4.096498993,0.056704717,305.7,0.23033401,0.109183609,861.3,1.961
4.096498993,0.056627556,305.76,0.230009026,0.109386345,865.92,1.962
4.09633064,0.05650852,304.62,0.230099285,0.109106194,862.62,1.962
